Old State	Action		New State
2094.4		0.651		2352.51
2094.4		0.65		2352.04
2094.4		0.649		2351.58
2094.4		0.648		2351.11
2094.4		0.647		2350.64
2094.4		0.646		2350.17
2094.4		0.645		2349.71
2094.4		0.644		2349.2399
2094.4		0.643		2348.77
2094.4		0.642		2348.31
2094.4		0.641		2347.84
2094.4		0.64		2347.37
2094.4		0.639		2346.91
2094.4		0.638		2346.44
2094.4		0.637		2345.9699
2094.4		0.636		2345.51
2094.4		0.635		2345.04
2094.4		0.634		2344.57
2094.4		0.633		2344.11
2094.4		0.632		2343.64
2094.4		0.631		2343.17
2094.4		0.63		2342.71
2094.4		0.629		2342.2399
2094.4		0.628		2341.77
2094.4		0.627		2341.31
2094.4		0.626		2340.84
2094.4		0.625		2340.37
2094.4		0.624		2339.91
2094.4		0.623		2339.44
2094.4		0.622		2338.98
2094.4		0.621		2338.51
2094.4		0.62		2338.04
2094.4		0.619		2337.58
2094.4		0.618		2337.11
2094.4		0.617		2336.65
2094.4		0.616		2336.18
2094.4		0.615		2335.71
2094.4		0.614		2335.25
2094.4		0.613		2334.78
2094.4		0.612		2334.31
2094.4		0.611		2333.85
2094.4		0.61		2333.38
2094.4		0.609		2332.92
2094.4		0.608		2332.45
2094.4		0.607		2331.9899
2094.4		0.606		2331.52
2094.4		0.605		2331.05
2094.4		0.604		2330.59
2094.4		0.603		2330.12
2094.4		0.602		2329.66
2094.4		0.601		2329.19
2094.4		0.6		2328.73
2094.4		0.599		2328.26
2094.4		0.598		2327.79
2094.4		0.597		2327.33
2094.4		0.596		2326.86
2094.4		0.595		2326.4
2094.4		0.594		2325.93
2094.4		0.593		2325.4699
2094.4		0.592		2325.0
2094.4		0.591		2324.54
2094.4		0.59		2324.07
2094.4		0.589		2323.61
2094.4		0.588		2323.14
2094.4		0.587		2322.68
2094.4		0.586		2322.21
2094.4		0.585		2321.75
2094.4		0.584		2321.28
2094.4		0.583		2320.82
2094.4		0.582		2320.35
2094.4		0.581		2319.89
2094.4		0.58		2319.42
2094.4		0.579		2318.96
2094.4		0.578		2318.4899
2094.4		0.577		2318.03
2094.4		0.576		2317.56
2094.4		0.575		2317.1
2094.4		0.574		2316.63
2094.4		0.573		2316.17
2094.4		0.572		2315.7
2094.4		0.571		2315.2399
2094.4		0.57		2314.77
2094.4		0.569		2314.31
2094.4		0.568		2313.84
2094.4		0.567		2313.38
2094.4		0.566		2312.91
2094.4		0.565		2312.45
2094.4		0.564		2311.9899
2094.4		0.563		2311.52
2094.4		0.562		2311.06
2094.4		0.561		2310.59
2094.4		0.56		2310.13
2094.4		0.559		2309.66
2094.4		0.558		2309.2
2094.4		0.557		2308.73
2094.4		0.556		2308.27
2094.4		0.555		2307.81
2094.4		0.554		2307.34
2094.4		0.553		2306.88
2094.4		0.552		2306.41
2094.4		0.551		2305.95
2094.4		0.55		2305.4899
2094.4		0.549		2305.02
2094.4		0.548		2304.56
2094.4		0.547		2304.09
2094.4		0.546		2303.63
2094.4		0.545		2303.17
2094.4		0.544		2302.7
2094.4		0.543		2302.2399
2094.4		0.542		2301.78
2094.4		0.541		2301.31
2094.4		0.54		2300.85
2094.4		0.539		2300.38
2094.4		0.538		2299.92
2094.4		0.537		2299.46
2094.4		0.536		2298.9899
2094.4		0.535		2298.53
2094.4		0.534		2298.07
2094.4		0.533		2297.6
2094.4		0.532		2297.14
2094.4		0.531		2296.68
2094.4		0.53		2296.21
2094.4		0.529		2295.75
2094.4		0.528		2295.28
2094.4		0.527		2294.82
2094.4		0.526		2294.36
2094.4		0.525		2293.9
2094.4		0.524		2293.43
2094.4		0.523		2292.9699
2094.4		0.522		2292.51
