"Steer","Gear","RPM","Speed","Distance","Min RPM","Max speed","Radius"
-0.772,3.000,8000.000,110.660,1957.252,3650.260,126.742,54.699
-0.772,4.000,7000.000,114.681,1957.252,4017.220,126.742,54.699
-0.771,1.000,7800.000,59.000,1846.580,2094.400,118.040,48.943
-0.771,2.000,8800.000,114.692,1958.308,5095.200,126.812,54.731
-0.771,3.000,8000.000,110.645,1958.308,3652.720,126.812,54.731
-0.771,4.000,7000.000,114.662,1958.308,4025.640,126.812,54.731
-0.770,1.000,7800.000,59.025,1846.990,2094.400,118.057,48.942
-0.770,2.000,8800.000,114.737,1959.350,5089.310,126.881,54.762
-0.770,3.000,8000.000,110.692,1959.350,3655.420,126.881,54.762
-0.770,4.000,7000.000,114.707,1959.350,4028.000,126.881,54.762
-0.769,1.000,7800.000,59.043,1847.364,2094.400,118.079,48.942
-0.769,2.000,8800.000,114.715,1960.406,5088.110,126.950,54.794
-0.769,3.000,8000.000,110.672,1960.406,3655.930,126.950,54.794
-0.769,4.000,7000.000,114.686,1960.406,4027.270,126.950,54.794
-0.768,1.000,7800.000,59.044,1847.755,2094.400,118.101,48.943
-0.768,2.000,8800.000,114.766,1961.459,5092.510,127.019,54.825
-0.768,3.000,8000.000,110.725,1961.459,3659.010,127.019,54.825
-0.768,4.000,7000.000,114.737,1961.459,4029.850,127.019,54.825
-0.767,1.000,7800.000,59.062,1848.128,2094.400,118.124,48.948
-0.767,2.000,8800.000,114.743,1962.513,5093.600,127.088,54.857
-0.767,3.000,8000.000,110.707,1962.513,3654.990,127.088,54.857
-0.767,4.000,7000.000,114.715,1962.513,4029.700,127.088,54.857
-0.766,1.000,7800.000,59.076,1848.509,2094.400,118.144,49.259
-0.766,2.000,8800.000,114.789,1963.561,5093.410,127.157,54.889
-0.766,3.000,8000.000,110.756,1963.561,3661.460,127.157,54.889
-0.766,4.000,7000.000,114.761,1963.561,4032.090,127.157,54.889
-0.765,1.000,7800.000,59.090,1848.882,2094.400,118.166,48.966
-0.765,2.000,8800.000,114.765,1964.609,5094.920,127.227,54.920
-0.765,3.000,8000.000,110.737,1964.609,3659.080,127.227,54.920
-0.765,4.000,7000.000,114.737,1964.609,4031.880,127.227,54.920
