OldState	Action		NewState
3432.97		0.38		3579.12
3432.97		0.37		3573.58
3432.97		0.36		3568.05
3432.97		0.35		3562.52
3432.97		0.34		3557.0
3432.97		0.33		3551.48
3432.97		0.32		3545.96
3432.97		0.31		3540.44
3432.97		0.3		3534.93
3432.97		0.29		3529.42
3432.97		0.28		3523.92
3432.97		0.27		3518.42
3432.97		0.26		3512.92
3432.97		0.25		3507.42
3432.97		0.24		3501.93
3432.97		0.23		3496.43
3432.97		0.22		3490.95
3432.97		0.21		3485.46
3432.97		0.2		3479.98
3432.97		0.19		3474.51
3432.97		0.18		3469.03
3432.97		0.17		3463.56
3432.97		0.16		3458.09
3432.97		0.15		3452.63
3432.97		0.14		3447.16
3432.97		0.13		3441.7
3432.97		0.12		3436.25
3432.97		0.11		3430.79
3432.97		0.1		3425.35
3432.97		0.09		3419.9
3432.97		0.08		3414.46
3432.97		0.07		3409.01
3432.97		0.06		3403.58
3432.97		0.05		3398.14
3432.97		0.04		3392.71
3432.97		0.03		3387.28
3432.97		0.02		3381.86
3432.97		0.01		3376.44
3432.97		0.0		3371.02
3928.42		1.0		4447.15
3928.42		0.99		4441.17
3928.42		0.98		4435.2
3928.42		0.97		4429.2299
3928.42		0.96		4423.26
3928.42		0.95		4417.29
3928.42		0.94		4411.32
3928.42		0.93		4405.36
3928.42		0.92		4399.4
3928.42		0.91		4393.4399
3928.42		0.9		4387.4799
3928.42		0.89		4381.53
3928.42		0.88		4375.57
3928.42		0.87		4369.62
3928.42		0.86		4363.67
3928.42		0.85		4357.71
3928.42		0.84		4351.76
3928.42		0.83		4345.8
3928.42		0.82		4339.85
3928.42		0.81		4333.91
3928.42		0.8		4327.96
3928.42		0.79		4322.02
3928.42		0.78		4316.08
3928.42		0.77		4310.14
3928.42		0.76		4304.2
3928.42		0.75		4298.26
3928.42		0.74		4292.32
3928.42		0.73		4286.38
3928.42		0.72		4280.4399
3928.42		0.71		4274.5
3928.42		0.7		4268.57
3928.42		0.69		4262.64
3928.42		0.68		4256.71
3928.42		0.67		4250.78
3928.42		0.66		4244.85
3928.42		0.65		4238.92
3928.42		0.64		4232.99
